item,amount,room,details
интерактивный коробка с голосами,16,4854,на подоконнике
магнитный соковыжималка идей,11,2050,рядом с розеткой
оптимистичный карта несуществующих аудиторий,8,4886,под потолком
магнитный стол,6,1885,у доски
депрессивный плакат мотивации,9,2349,на кафедре
параллельный пульт управления хаосом,4,558,рядом с розеткой
локальный стул-неврастеник,8,4570,в углу аудитории
локальный кабель HDMI-невидимка,12,1287,в углу аудитории
сломанный пылесос для мыслей,2,272,
оптимистичный робот-ассистент,10,2063,за занавеской
магнитный дрон наблюдения за лекцией,18,3072,у доски
сингулярный кофеварка кафедры,13,3724,в углу аудитории
резиновый маркер,10,2564,у доски
самообновляющийся плакат мотивации,14,1412,под столом
локальный маркер,16,2344,
депрессивный пакет загадок,4,3482,в шкафу
антикварный коробка с голосами,12,2237,под потолком
самообновляющийся карта несуществующих аудиторий,15,5032,
шумящий доска,15,324,за занавеской
оптимистичный проектор,7,1214,за занавеской
антикварный пакет загадок,4,2603,в шкафу
квантовый коробка с голосами,20,2144,за занавеской
хаотический пакет загадок,16,3461,
шумящий робот-ассистент,19,1193,рядом с розеткой
антикварный ноутбук-призрак,14,2408,рядом с розеткой
оптимистичный кофеварка кафедры,19,1590,у доски
резиновый проектор,3,269,в коробке на подоконнике
шумящий робот-ассистент,2,1724,под потолком
интерактивный стул-неврастеник,5,5162,на подоконнике
магнитный лампа,1,3114,
хаотический стул-неврастеник,16,4407,на подоконнике
забытый энергетический кристалл (почти работает),7,1938,в углу аудитории
локальный карта несуществующих аудиторий,13,2458,в шкафу
забытый ноутбук-призрак,10,3633,
шумящий стул-неврастеник,14,1651,в шкафу
интерактивный учебник по квантовой философии,8,335,на кафедре
параллельный забытый бутерброд,19,3794,за занавеской
сингулярный маркер,16,3853,в шкафу
оптимистичный энергетический кристалл (почти работает),7,2748,
депрессивный энергетический кристалл (почти работает),20,3241,в углу аудитории
сломанный кресло,2,698,рядом с розеткой
параллельный пульт управления хаосом,20,2023,за занавеской
сломанный энергетический кристалл (почти работает),1,5000,в углу аудитории
оптимистичный соковыжималка идей,10,4233,под потолком
сломанный стол,19,3138,в шкафу
университетский лампа,16,2232,рядом с розеткой
антикварный стол,11,3934,
квантовый стул-неврастеник,9,4445,на подоконнике
квантовый доска,16,2666,в углу аудитории
голографический стул-неврастеник,9,3053,на кафедре
самообновляющийся коробка с голосами,14,2260,в шкафу
локальный карта несуществующих аудиторий,5,2684,внутри вентиляции
сломанный плакат мотивации,7,5315,в шкафу
шумящий забытый бутерброд,2,547,в коробке на подоконнике
хаотический лампа,14,2231,на подоконнике
хаотический доска,12,4154,
хаотический пульт управления хаосом,16,4694,на подоконнике
параллельный кресло,3,1312,у доски
шумящий лампа,17,2427,в углу аудитории
забытый дрон наблюдения за лекцией,19,4714,под столом
шумящий бутылка времени,14,4409,на подоконнике
магнитный пульт управления хаосом,11,2116,под столом
магнитный дрон наблюдения за лекцией,13,2428,рядом с розеткой
самообновляющийся кресло,5,4936,под столом
локальный плакат мотивации,15,764,за занавеской
сингулярный соковыжималка идей,11,2306,под столом
самообновляющийся плакат мотивации,19,5198,в шкафу
голографический доска,11,1831,под столом
оптимистичный микрофон-невидимка,3,679,под потолком
резиновый лампа,13,2190,на подоконнике
шумящий ноутбук-призрак,13,268,под потолком
квантовый пылесос для мыслей,4,2434,в углу аудитории
голографический стул-неврастеник,20,4121,в шкафу
магнитный дрон наблюдения за лекцией,12,3041,внутри вентиляции
хаотический пульт управления хаосом,13,1737,в коробке на подоконнике
депрессивный бутылка времени,3,2299,под потолком
шумящий соковыжималка идей,14,3116,за занавеской
сломанный маркер,17,3589,рядом с розеткой
резиновый дрон наблюдения за лекцией,5,3897,в коробке на подоконнике
университетский пылесос для мыслей,3,4419,в углу аудитории
антикварный стул-неврастеник,16,3935,в углу аудитории
голографический стол,8,1317,внутри вентиляции
сломанный учебник по квантовой философии,18,3603,на подоконнике
магнитный коробка с голосами,17,469,под потолком
хаотический кресло,19,3483,в углу аудитории
антикварный робот-ассистент,17,3011,под столом
хаотический карта несуществующих аудиторий,6,1033,в шкафу
антикварный доска,14,3319,
хаотический пакет загадок,15,2538,на кафедре
шумящий пакет загадок,7,2271,в шкафу
интерактивный карта несуществующих аудиторий,4,740,под потолком
сингулярный проектор,13,4477,на подоконнике
локальный лампа,15,208,
локальный дрон наблюдения за лекцией,10,3418,на кафедре
оптимистичный кабель HDMI-невидимка,10,5152,на подоконнике
сингулярный стол,7,1124,на подоконнике
забытый энергетический кристалл (почти работает),1,230,у доски
квантовый пылесос для мыслей,8,4041,под потолком
забытый микрофон-невидимка,3,5228,в углу аудитории
локальный стол,14,3896,под столом
квантовый лампа,15,1054,в коробке на подоконнике
хаотический проектор,19,3962,у доски
оптимистичный учебник по квантовой философии,2,1749,рядом с розеткой
депрессивный кресло,14,164,в коробке на подоконнике
голографический соковыжималка идей,2,4840,в коробке на подоконнике
университетский пульт управления хаосом,19,3374,
локальный дрон наблюдения за лекцией,8,5109,
сингулярный коробка с голосами,14,597,на кафедре
антикварный микрофон-невидимка,9,2687,за занавеской
магнитный пульт управления хаосом,16,3517,на кафедре
хаотический кабель HDMI-невидимка,14,5393,под столом
забытый учебник по квантовой философии,16,1421,рядом с розеткой
университетский забытый бутерброд,8,3689,на кафедре
хаотический соковыжималка идей,5,2878,в углу аудитории
параллельный стул-неврастеник,16,3297,в шкафу
голографический ноутбук-призрак,3,5194,за занавеской
шумящий стол,7,4055,в шкафу
магнитный пульт управления хаосом,14,5062,в коробке на подоконнике
забытый забытый бутерброд,18,2587,под столом
интерактивный кабель HDMI-невидимка,12,248,за занавеской
университетский лампа,2,1399,на подоконнике
магнитный стул-неврастеник,20,2866,у доски
резиновый микрофон-невидимка,16,1088,в углу аудитории
сломанный кабель HDMI-невидимка,18,2887,в углу аудитории
университетский энергетический кристалл (почти работает),20,1338,за занавеской
сломанный энергетический кристалл (почти работает),15,953,в коробке на подоконнике
магнитный кресло,18,1008,под столом
шумящий кресло,4,4255,у доски
голографический лампа,15,3062,внутри вентиляции
магнитный карта несуществующих аудиторий,5,4182,за занавеской
квантовый пакет загадок,4,3079,у доски
сингулярный стул-неврастеник,8,3697,в коробке на подоконнике
университетский учебник по квантовой философии,6,2896,на подоконнике
депрессивный кабель HDMI-невидимка,12,2279,за занавеской
университетский стол,14,2110,у доски
депрессивный стул-неврастеник,14,1230,в коробке на подоконнике
параллельный дрон наблюдения за лекцией,1,4328,в коробке на подоконнике
университетский проектор,3,1292,на подоконнике
оптимистичный пакет загадок,6,2871,под потолком
сломанный кофеварка кафедры,5,603,на кафедре
университетский пылесос для мыслей,10,573,под потолком
голографический дрон наблюдения за лекцией,11,3393,рядом с розеткой
университетский робот-ассистент,20,164,в шкафу
забытый плакат мотивации,18,3409,на кафедре
хаотический пылесос для мыслей,12,5164,за занавеской
голографический ноутбук-призрак,3,3413,под столом
оптимистичный пакет загадок,5,4502,внутри вентиляции
забытый учебник по квантовой философии,3,4530,внутри вентиляции
университетский учебник по квантовой философии,11,4620,за занавеской
сингулярный проектор,18,1410,на кафедре
голографический забытый бутерброд,14,2219,внутри вентиляции
сломанный карта несуществующих аудиторий,12,1004,в углу аудитории
параллельный коробка с голосами,4,5236,под столом
голографический плакат мотивации,19,1121,
самообновляющийся плакат мотивации,8,142,
резиновый бутылка времени,12,4864,в углу аудитории
квантовый дрон наблюдения за лекцией,13,2430,внутри вентиляции
самообновляющийся кресло,17,2128,на кафедре
хаотический кабель HDMI-невидимка,4,1677,в шкафу
антикварный стул-неврастеник,3,3587,под столом
локальный стол,7,3580,в коробке на подоконнике
университетский кабель HDMI-невидимка,13,739,на кафедре
оптимистичный коробка с голосами,9,4679,на кафедре
депрессивный пылесос для мыслей,15,4186,
депрессивный карта несуществующих аудиторий,6,4110,в шкафу
локальный стол,15,4243,в шкафу
магнитный коробка с голосами,7,4304,в коробке на подоконнике
шумящий доска,18,3977,рядом с розеткой
депрессивный соковыжималка идей,4,1072,на подоконнике
голографический бутылка времени,2,3127,внутри вентиляции
параллельный кресло,10,1355,рядом с розеткой
локальный учебник по квантовой философии,1,2584,в шкафу
депрессивный бутылка времени,2,1264,в углу аудитории
шумящий ноутбук-призрак,16,2422,под столом
параллельный микрофон-невидимка,3,1102,под столом
голографический пульт управления хаосом,19,3520,в коробке на подоконнике
локальный кофеварка кафедры,20,2867,в шкафу
хаотический коробка с голосами,15,1234,за занавеской
самообновляющийся стол,3,3778,на кафедре
оптимистичный стул-неврастеник,8,5208,под потолком
сломанный микрофон-невидимка,15,2877,
антикварный пылесос для мыслей,6,2372,
голографический бутылка времени,18,303,за занавеской
антикварный пылесос для мыслей,7,1114,на кафедре
сломанный бутылка времени,19,4538,внутри вентиляции
университетский пульт управления хаосом,1,1651,на подоконнике
сингулярный лампа,9,4456,у доски
хаотический энергетический кристалл (почти работает),3,2109,внутри вентиляции
оптимистичный пакет загадок,19,5071,под столом
самообновляющийся проектор,14,4126,в шкафу
университетский проектор,11,3499,под потолком
магнитный маркер,4,2206,внутри вентиляции
квантовый учебник по квантовой философии,6,1477,в углу аудитории
голографический стол,14,834,за занавеской
самообновляющийся доска,6,1486,под столом
оптимистичный учебник по квантовой философии,4,579,рядом с розеткой
самообновляющийся стул-неврастеник,9,1267,под потолком
забытый доска,8,1090,на кафедре
локальный забытый бутерброд,17,4900,внутри вентиляции
интерактивный кресло,2,3254,рядом с розеткой
депрессивный микрофон-невидимка,3,3907,в коробке на подоконнике
резиновый стул-неврастеник,1,336,в углу аудитории
магнитный бутылка времени,8,4638,внутри вентиляции
депрессивный учебник по квантовой философии,15,1128,на подоконнике
забытый коробка с голосами,5,5308,рядом с розеткой
резиновый лампа,18,4527,под потолком
сломанный плакат мотивации,1,4647,в коробке на подоконнике
шумящий учебник по квантовой философии,1,5185,под столом
интерактивный робот-ассистент,13,4050,рядом с розеткой
университетский ноутбук-призрак,10,5279,под столом
антикварный карта несуществующих аудиторий,10,1422,на подоконнике
магнитный энергетический кристалл (почти работает),5,3338,
депрессивный робот-ассистент,7,4658,на кафедре
самообновляющийся пакет загадок,9,4235,
забытый пакет загадок,15,2734,на кафедре
квантовый проектор,1,2790,на кафедре
сингулярный проектор,6,4003,под потолком
локальный энергетический кристалл (почти работает),13,4653,внутри вентиляции
антикварный пылесос для мыслей,18,764,под столом
магнитный дрон наблюдения за лекцией,12,3746,под потолком
оптимистичный кабель HDMI-невидимка,6,5025,
хаотический кресло,12,169,у доски
резиновый проектор,1,3741,в углу аудитории
антикварный ноутбук-призрак,20,3031,за занавеской
резиновый энергетический кристалл (почти работает),8,2583,в коробке на подоконнике
интерактивный доска,16,3073,
сингулярный ноутбук-призрак,7,5064,за занавеской
интерактивный кресло,19,3344,внутри вентиляции
забытый лампа,19,4146,за занавеской
шумящий бутылка времени,3,5039,на кафедре
антикварный карта несуществующих аудиторий,5,1150,в углу аудитории
университетский забытый бутерброд,9,4768,у доски
интерактивный энергетический кристалл (почти работает),18,289,в коробке на подоконнике
сломанный стул-неврастеник,11,116,под потолком
магнитный робот-ассистент,17,3433,в коробке на подоконнике
университетский кабель HDMI-невидимка,2,4159,
интерактивный доска,14,1939,внутри вентиляции
сингулярный пакет загадок,13,3777,у доски
сингулярный маркер,8,2841,
резиновый маркер,7,3571,в шкафу
антикварный учебник по квантовой философии,4,2797,под столом
сингулярный стул-неврастеник,19,4031,за занавеской
резиновый робот-ассистент,4,2838,в коробке на подоконнике
сломанный пакет загадок,11,2052,внутри вентиляции
хаотический маркер,4,2039,за занавеской
магнитный бутылка времени,3,3757,под столом
самообновляющийся кофеварка кафедры,3,373,в шкафу
сломанный плакат мотивации,10,607,на кафедре
антикварный стул-неврастеник,4,5229,за занавеской
сломанный микрофон-невидимка,10,557,под потолком
депрессивный кресло,8,3390,на кафедре
хаотический проектор,13,5211,в коробке на подоконнике
магнитный соковыжималка идей,11,3607,за занавеской
университетский плакат мотивации,11,312,на кафедре
магнитный кресло,1,1676,на кафедре
забытый бутылка времени,19,653,в шкафу
интерактивный коробка с голосами,12,5321,под потолком
хаотический карта несуществующих аудиторий,6,4043,у доски
сломанный доска,5,1227,в углу аудитории
университетский стул-неврастеник,12,4888,в углу аудитории
квантовый микрофон-невидимка,5,4881,в коробке на подоконнике
самообновляющийся соковыжималка идей,10,2628,рядом с розеткой
квантовый коробка с голосами,2,166,у доски
сломанный микрофон-невидимка,14,4254,рядом с розеткой
забытый ноутбук-призрак,3,1700,рядом с розеткой
локальный дрон наблюдения за лекцией,15,1651,на кафедре
самообновляющийся бутылка времени,20,2812,в углу аудитории
шумящий пакет загадок,4,3529,в коробке на подоконнике
резиновый пульт управления хаосом,1,445,за занавеской
резиновый энергетический кристалл (почти работает),15,1927,на кафедре
локальный забытый бутерброд,11,1846,
оптимистичный ноутбук-призрак,6,3179,под столом
антикварный проектор,12,3072,под столом
квантовый кресло,10,4644,в коробке на подоконнике
параллельный пылесос для мыслей,2,1692,под столом
голографический ноутбук-призрак,6,1731,у доски
шумящий карта несуществующих аудиторий,11,2246,внутри вентиляции
забытый лампа,1,2114,в шкафу
сингулярный кресло,5,2244,под потолком
забытый пакет загадок,10,1009,в коробке на подоконнике
параллельный кабель HDMI-невидимка,6,2067,внутри вентиляции
антикварный стул-неврастеник,4,5205,в шкафу
забытый ноутбук-призрак,18,1171,под потолком
депрессивный пакет загадок,8,3165,под столом
забытый бутылка времени,18,5146,в углу аудитории
резиновый пакет загадок,2,1317,за занавеской
университетский стол,19,2394,в коробке на подоконнике
антикварный карта несуществующих аудиторий,16,1814,за занавеской
шумящий маркер,17,5137,под потолком
параллельный коробка с голосами,16,5384,внутри вентиляции
самообновляющийся лампа,12,3903,внутри вентиляции
локальный энергетический кристалл (почти работает),16,4059,в углу аудитории
сломанный кофеварка кафедры,7,4861,у доски
резиновый плакат мотивации,13,1762,у доски
оптимистичный стул-неврастеник,19,2606,в шкафу
антикварный робот-ассистент,5,3164,на подоконнике
университетский плакат мотивации,12,2517,у доски
хаотический доска,17,4883,на кафедре
хаотический стул-неврастеник,15,2855,под потолком
локальный кабель HDMI-невидимка,11,3450,в углу аудитории
шумящий проектор,15,3232,у доски
антикварный пылесос для мыслей,12,2275,на подоконнике
университетский коробка с голосами,18,2512,за занавеской
резиновый робот-ассистент,4,740,на подоконнике
сломанный кабель HDMI-невидимка,18,684,у доски
самообновляющийся ноутбук-призрак,9,2834,в углу аудитории
квантовый ноутбук-призрак,18,2348,в углу аудитории
голографический учебник по квантовой философии,12,169,под потолком
сингулярный бутылка времени,16,3423,за занавеской
оптимистичный стол,8,4299,у доски
резиновый пульт управления хаосом,17,1819,на кафедре
хаотический плакат мотивации,11,4627,на подоконнике
депрессивный ноутбук-призрак,14,2664,у доски
сингулярный плакат мотивации,12,3693,в шкафу
голографический стол,1,4830,в коробке на подоконнике
резиновый пакет загадок,14,3005,под потолком
голографический энергетический кристалл (почти работает),11,3404,на кафедре
сломанный бутылка времени,5,290,в шкафу
оптимистичный бутылка времени,13,2805,у доски
оптимистичный маркер,7,3300,в коробке на подоконнике
хаотический пакет загадок,10,989,на подоконнике
шумящий кресло,2,1504,
сингулярный пульт управления хаосом,6,5042,у доски
голографический кофеварка кафедры,7,669,у доски
университетский дрон наблюдения за лекцией,3,2484,в коробке на подоконнике
университетский кабель HDMI-невидимка,1,570,в шкафу
оптимистичный стул-неврастеник,6,2776,на подоконнике
депрессивный микрофон-невидимка,16,1157,
забытый кофеварка кафедры,5,663,у доски
локальный стул-неврастеник,6,2637,на кафедре
забытый учебник по квантовой философии,17,4811,
забытый робот-ассистент,1,3859,в шкафу
оптимистичный маркер,20,3751,у доски
локальный пакет загадок,15,4407,в коробке на подоконнике
антикварный доска,10,4819,за занавеской
голографический кабель HDMI-невидимка,13,3838,на кафедре
резиновый стул-неврастеник,6,1534,на кафедре
оптимистичный плакат мотивации,6,3639,
оптимистичный кресло,2,4758,у доски
голографический робот-ассистент,3,1393,
депрессивный пульт управления хаосом,18,1879,на подоконнике
магнитный маркер,17,3120,рядом с розеткой
шумящий плакат мотивации,9,3459,у доски
хаотический доска,1,4245,на подоконнике
хаотический энергетический кристалл (почти работает),13,5333,рядом с розеткой
оптимистичный ноутбук-призрак,2,3371,под столом
квантовый кресло,11,2152,за занавеской
хаотический пульт управления хаосом,3,3903,на подоконнике
резиновый дрон наблюдения за лекцией,15,4592,в шкафу
шумящий робот-ассистент,6,3956,под столом
шумящий кресло,10,5072,на подоконнике
оптимистичный карта несуществующих аудиторий,6,4479,на подоконнике
интерактивный дрон наблюдения за лекцией,5,191,в коробке на подоконнике
забытый лампа,2,3033,за занавеской
хаотический ноутбук-призрак,2,4460,за занавеской
магнитный пылесос для мыслей,13,4383,
сломанный плакат мотивации,20,2625,под столом
забытый кофеварка кафедры,8,498,рядом с розеткой
антикварный ноутбук-призрак,1,2054,под потолком
самообновляющийся проектор,7,328,за занавеской
магнитный забытый бутерброд,6,617,
депрессивный доска,17,1468,на подоконнике
забытый пакет загадок,20,2779,у доски
депрессивный кофеварка кафедры,4,4537,у доски
параллельный кресло,11,1851,в шкафу
самообновляющийся кофеварка кафедры,1,222,под потолком
резиновый плакат мотивации,3,1842,за занавеской
параллельный пылесос для мыслей,2,2381,на подоконнике
голографический стул-неврастеник,20,1890,в коробке на подоконнике
шумящий энергетический кристалл (почти работает),9,934,на подоконнике
оптимистичный пакет загадок,5,5014,рядом с розеткой
самообновляющийся пылесос для мыслей,16,1536,на подоконнике
хаотический проектор,13,2845,внутри вентиляции
резиновый карта несуществующих аудиторий,17,5347,на кафедре
сингулярный забытый бутерброд,20,208,на подоконнике
депрессивный забытый бутерброд,8,2630,на кафедре
квантовый доска,12,750,в коробке на подоконнике
квантовый ноутбук-призрак,13,2529,у доски
резиновый доска,20,5359,в коробке на подоконнике
интерактивный стол,11,2792,за занавеской
депрессивный коробка с голосами,10,424,под столом
самообновляющийся карта несуществующих аудиторий,11,1976,у доски
сломанный микрофон-невидимка,8,1786,за занавеской
оптимистичный соковыжималка идей,17,1922,рядом с розеткой
сингулярный плакат мотивации,3,1603,в коробке на подоконнике
сломанный ноутбук-призрак,5,673,у доски
шумящий маркер,19,1128,внутри вентиляции
университетский забытый бутерброд,3,1774,под потолком
шумящий учебник по квантовой философии,7,3926,у доски
резиновый лампа,10,3573,в углу аудитории
забытый плакат мотивации,9,4822,в коробке на подоконнике
оптимистичный кабель HDMI-невидимка,13,755,в шкафу
депрессивный плакат мотивации,17,3956,на кафедре
локальный стол,1,3650,под потолком
голографический маркер,20,3601,внутри вентиляции
шумящий микрофон-невидимка,9,1351,под потолком
хаотический учебник по квантовой философии,10,3898,под потолком
локальный соковыжималка идей,3,4705,рядом с розеткой
локальный энергетический кристалл (почти работает),7,1219,в шкафу
сингулярный проектор,17,1653,
оптимистичный пульт управления хаосом,14,3165,под потолком
локальный кофеварка кафедры,10,3156,за занавеской
депрессивный маркер,2,4919,на подоконнике
шумящий бутылка времени,7,3252,под потолком
параллельный карта несуществующих аудиторий,17,2191,
параллельный пылесос для мыслей,2,4102,за занавеской
резиновый стул-неврастеник,8,3256,в коробке на подоконнике
сингулярный кабель HDMI-невидимка,5,382,в углу аудитории
квантовый плакат мотивации,9,5059,у доски
шумящий бутылка времени,1,5032,на подоконнике
оптимистичный пылесос для мыслей,13,856,
университетский маркер,7,4901,под потолком
интерактивный стул-неврастеник,10,1458,внутри вентиляции
оптимистичный дрон наблюдения за лекцией,19,4467,в углу аудитории
антикварный карта несуществующих аудиторий,4,3471,за занавеской
квантовый кабель HDMI-невидимка,9,4790,
оптимистичный карта несуществующих аудиторий,10,1816,под столом
сингулярный пульт управления хаосом,4,1479,на подоконнике
депрессивный коробка с голосами,10,3522,
шумящий лампа,12,3630,в шкафу
локальный ноутбук-призрак,6,1200,внутри вентиляции
забытый плакат мотивации,6,1003,у доски
шумящий карта несуществующих аудиторий,7,583,в углу аудитории
магнитный плакат мотивации,6,3448,на подоконнике
оптимистичный маркер,4,2501,в углу аудитории
сингулярный пакет загадок,19,626,у доски
магнитный пульт управления хаосом,1,4014,под столом
сломанный проектор,4,2279,у доски
оптимистичный проектор,20,4378,внутри вентиляции
локальный пульт управления хаосом,11,2277,на кафедре
параллельный пакет загадок,11,3618,рядом с розеткой
оптимистичный кабель HDMI-невидимка,13,2062,на кафедре
самообновляющийся кабель HDMI-невидимка,4,568,под столом
оптимистичный энергетический кристалл (почти работает),5,3843,под столом
университетский кресло,9,5030,
хаотический кабель HDMI-невидимка,20,2136,за занавеской
депрессивный коробка с голосами,7,3992,под столом
сингулярный пакет загадок,12,5327,под столом
хаотический дрон наблюдения за лекцией,8,2766,на кафедре
антикварный кофеварка кафедры,12,4069,под потолком
магнитный дрон наблюдения за лекцией,13,4000,в углу аудитории
квантовый ноутбук-призрак,17,5073,на кафедре
квантовый доска,16,4233,на подоконнике
хаотический дрон наблюдения за лекцией,6,2568,в коробке на подоконнике
резиновый пульт управления хаосом,8,1047,у доски
антикварный дрон наблюдения за лекцией,4,1496,под потолком
самообновляющийся лампа,13,339,в углу аудитории
интерактивный карта несуществующих аудиторий,16,1905,за занавеской
квантовый дрон наблюдения за лекцией,18,1108,за занавеской
самообновляющийся маркер,8,4130,на кафедре
самообновляющийся маркер,13,5020,
депрессивный пылесос для мыслей,8,3226,у доски
голографический кресло,3,2222,на подоконнике
забытый пакет загадок,4,830,на кафедре
самообновляющийся стол,13,3112,на кафедре
сломанный учебник по квантовой философии,19,113,внутри вентиляции
депрессивный кофеварка кафедры,11,1655,рядом с розеткой
резиновый коробка с голосами,4,1134,под потолком
хаотический микрофон-невидимка,11,175,в шкафу
локальный забытый бутерброд,15,2531,в шкафу
квантовый учебник по квантовой философии,2,5027,на кафедре
университетский учебник по квантовой философии,4,2722,в углу аудитории
забытый пульт управления хаосом,16,4801,в углу аудитории
самообновляющийся доска,5,3185,
резиновый карта несуществующих аудиторий,2,1825,в шкафу
оптимистичный карта несуществующих аудиторий,10,4093,за занавеской
оптимистичный проектор,11,1404,под потолком
оптимистичный кабель HDMI-невидимка,13,3978,на подоконнике
голографический карта несуществующих аудиторий,10,4424,
оптимистичный энергетический кристалл (почти работает),4,1698,в шкафу
сломанный бутылка времени,10,2749,в коробке на подоконнике
квантовый бутылка времени,15,1440,
квантовый учебник по квантовой философии,7,4052,у доски
сингулярный карта несуществующих аудиторий,12,1702,
квантовый кресло,13,4815,под потолком
магнитный доска,12,1478,в коробке на подоконнике
магнитный доска,17,1571,за занавеской
депрессивный бутылка времени,5,2872,за занавеской
сломанный забытый бутерброд,4,3409,у доски
голографический пульт управления хаосом,20,3349,в шкафу
антикварный энергетический кристалл (почти работает),15,3175,за занавеской
хаотический робот-ассистент,12,3230,под столом
антикварный кресло,4,1083,в коробке на подоконнике
университетский дрон наблюдения за лекцией,8,5354,под столом
локальный бутылка времени,9,4907,
шумящий бутылка времени,13,874,в коробке на подоконнике
депрессивный энергетический кристалл (почти работает),10,5380,на кафедре
самообновляющийся кресло,3,1125,
оптимистичный лампа,1,4503,под потолком
университетский микрофон-невидимка,16,4655,на подоконнике
магнитный бутылка времени,7,4350,за занавеской
шумящий лампа,1,1061,внутри вентиляции
магнитный пакет загадок,2,3763,в шкафу
шумящий ноутбук-призрак,3,4811,внутри вентиляции
антикварный доска,4,2203,внутри вентиляции
шумящий кабель HDMI-невидимка,14,2545,за занавеской
голографический забытый бутерброд,2,100,внутри вентиляции
хаотический дрон наблюдения за лекцией,5,2503,на кафедре
самообновляющийся энергетический кристалл (почти работает),17,4117,рядом с розеткой
университетский микрофон-невидимка,7,5065,
сломанный дрон наблюдения за лекцией,8,911,под столом
голографический стол,7,1640,в шкафу
забытый микрофон-невидимка,19,5032,рядом с розеткой
депрессивный стол,3,2372,внутри вентиляции
оптимистичный робот-ассистент,6,2188,под потолком
интерактивный маркер,14,3836,
забытый микрофон-невидимка,3,1273,за занавеской
забытый пылесос для мыслей,12,2306,на кафедре
шумящий соковыжималка идей,14,4289,в шкафу
оптимистичный стул-неврастеник,1,2691,на кафедре
интерактивный маркер,4,2127,внутри вентиляции
депрессивный дрон наблюдения за лекцией,3,1001,рядом с розеткой
